Season,team,W,L,player,GP,percentage
1984,CHI,38,44,JORDAN,82,46.34146341
1985,CHI,30,52,JORDAN,82,36.58536585
1986,CHI,40,42,JORDAN,82,48.7804878
1987,CHI,50,32,JORDAN,82,60.97560976
1988,CHI,47,35,JORDAN,82,57.31707317
1989,CHI,55,27,JORDAN,82,67.07317073
1990,CHI,61,21,JORDAN,82,74.3902439
1991,CHI,67,15,JORDAN,82,81.70731707
1992,CHI,57,25,JORDAN,82,69.51219512
1993,,,,,,
1994,CHI,47,35,JORDAN,82,57.31707317
1995,CHI,72,10,JORDAN,82,87.80487805
1996,CHI,69,13,JORDAN,82,84.14634146
1997,CHI,62,20,JORDAN,82,75.6097561
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,WAS,37,45,JORDAN,82,45.12195122
2002,WAS,37,45,JORDAN,82,45.12195122
