Season,team,W,L,player,GP,percentage
2003,CLE,35,47,LEBRON,82,42.68292683
2004,CLE,42,40,LEBRON,82,51.2195122
2005,CLE,50,32,LEBRON,82,60.97560976
2006,CLE,50,32,LEBRON,82,60.97560976
2007,CLE,45,37,LEBRON,82,54.87804878
2008,CLE,66,16,LEBRON,82,80.48780488
2009,CLE,61,21,LEBRON,82,74.3902439
2010,MIA,58,24,LEBRON,82,70.73170732
2011,MIA,46,20,LEBRON,66,69.6969697
2012,MIA,66,16,LEBRON,82,80.48780488
2013,MIA,54,28,LEBRON,82,65.85365854
2014,CLE,53,29,LEBRON,82,64.63414634
2015,CLE,57,25,LEBRON,82,69.51219512
2016,CLE,51,31,LEBRON,82,62.19512195
2017,CLE,50,32,LEBRON,82,60.97560976
2018,LAL,37,45,LEBRON,82,45.12195122
2019,LAL,52,19,LEBRON,71,73.23943662
2020,LAL,42,30,LEBRON,72,58.33333333
2021,LAL,33,49,LEBRON,82,40.24390244
2022,LAL,43,39,LEBRON,82,52.43902439
